br.com.camiloporto.scalability.client.ClientRequest | Thread-112 | Wed Sep 20 21:58:27 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-113 | Wed Sep 20 21:58:27 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-114 | Wed Sep 20 21:58:28 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-115 | Wed Sep 20 21:58:29 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-62 | Wed Sep 20 21:58:29 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-64 | Wed Sep 20 21:58:29 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-116 | Wed Sep 20 21:58:29 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-63 | Wed Sep 20 21:58:30 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-117 | Wed Sep 20 21:58:30 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-65 | Wed Sep 20 21:58:30 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-118 | Wed Sep 20 21:58:31 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-119 | Wed Sep 20 21:58:31 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-120 | Wed Sep 20 21:58:32 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-121 | Wed Sep 20 21:58:32 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-122 | Wed Sep 20 21:58:32 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-67 | Wed Sep 20 21:58:32 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-68 | Wed Sep 20 21:58:32 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-123 | Wed Sep 20 21:58:32 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-66 | Wed Sep 20 21:58:32 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-124 | Wed Sep 20 21:58:33 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-125 | Wed Sep 20 21:58:33 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-126 | Wed Sep 20 21:58:34 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-127 | Wed Sep 20 21:58:34 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-128 | Wed Sep 20 21:58:35 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-69 | Wed Sep 20 21:58:35 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-70 | Wed Sep 20 21:58:35 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-129 | Wed Sep 20 21:58:36 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-130 | Wed Sep 20 21:58:36 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-131 | Wed Sep 20 21:58:37 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-71 | Wed Sep 20 21:58:37 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-132 | Wed Sep 20 21:58:38 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-72 | Wed Sep 20 21:58:38 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-73 | Wed Sep 20 21:58:38 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-133 | Wed Sep 20 21:58:38 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-134 | Wed Sep 20 21:58:39 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-135 | Wed Sep 20 21:58:40 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-74 | Wed Sep 20 21:58:40 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-136 | Wed Sep 20 21:58:40 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-75 | Wed Sep 20 21:58:41 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-137 | Wed Sep 20 21:58:41 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-138 | Wed Sep 20 21:58:42 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-77 | Wed Sep 20 21:58:42 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-76 | Wed Sep 20 21:58:42 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-139 | Wed Sep 20 21:58:42 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-140 | Wed Sep 20 21:58:43 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-141 | Wed Sep 20 21:58:44 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-78 | Wed Sep 20 21:58:44 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-79 | Wed Sep 20 21:58:44 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-142 | Wed Sep 20 21:58:44 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-143 | Wed Sep 20 21:58:45 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-144 | Wed Sep 20 21:58:46 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-80 | Wed Sep 20 21:58:46 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-145 | Wed Sep 20 21:58:46 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-146 | Wed Sep 20 21:58:47 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-81 | Wed Sep 20 21:58:47 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-82 | Wed Sep 20 21:58:47 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-147 | Wed Sep 20 21:58:48 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-148 | Wed Sep 20 21:58:49 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-149 | Wed Sep 20 21:58:49 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-83 | Wed Sep 20 21:58:49 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-150 | Wed Sep 20 21:58:49 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-151 | Wed Sep 20 21:58:50 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-152 | Wed Sep 20 21:58:50 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-84 | Wed Sep 20 21:58:50 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-85 | Wed Sep 20 21:58:51 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-153 | Wed Sep 20 21:58:51 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-154 | Wed Sep 20 21:58:51 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-86 | Wed Sep 20 21:58:52 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-155 | Wed Sep 20 21:58:52 BRT 2017 | request sent
